Name;Ebenheitsnormal
158, Edmund Optics, 937 PTB 05;158, Edmund Optics, 937 PTB 05
2004-FtS 14, Silizium Normal, stark gebraucht;2004-FtS 14, Silizium Normal, stark gebraucht
2320, Edmund Optics, 1005 PTB 07;2320, Edmund Optics, 1005 PTB 07
3140, Edmund Optics, 1025 PTB 07;3140, Edmund Optics, 1025 PTB 07
0027, SiMetricS, 1205 PTB ,09;0027, SiMetricS, 1205 PTB ,09
1, Edmund Optics, Zerodur;1, Edmund Optics, Zerodur
NF PP-001 (NPL-202212154-2A);NF PP-001 (NPL-202212154-2A) Fertigung	
NF PP-002 (NPL-202212154-2B);NF PP-001 (NPL-202212154-2A) Applikation	
NF PP-003 (NPL-202212154-2C);NF PP-001 (NPL-202212154-2A) Service (Satz 05)	
NF PP-004 (NPL-202212154-2D);NF PP-001 (NPL-202212154-2A) Service (Satz 06)	
