Name;Objektiv;max_Ebenheit;min_Ausleuchtung;delta_Tiefe;Tiefe;delta_AbbMaßstab;Numerische Apertur;delta_Ra;delta_Rz;dPin;cif
3200S;3200S (5x);0,24;50;0,12;9;6,25;0,15;0,12;0,12;30,000;15,000
1600S;1600S (10x);0,13;50;0,06;9;3,13;0,3;0,12;0,12;15,000;10,000
800L;800L (20x long);0,09;50;0,05;9;1,56;0,4;0,12;0,12;5,000;10,000
800S;800S (20x);0,08;50;0,04;9;1,56;0,46;0,12;0,12;4,500;5,000
800XS;800XS (20xs);0,07;50;0,04;9;1,56;0,6;0,12;0,12;4,000;5,000
320L;320L (50x long);0,07;50;0,04;4;0,63;0,5;0,12;0,12;3,200;5,000
320S;320S (50x);0,05;50;0,03;4;0,63;0,8;0,12;0,12;1,500;3,000
320XS;320XS (50xs);0,04;50;0,03;4;0,63;0,95;0,12;0,12;0,700;3,000
270XS;270XS (60xs);0,04;50;0,03;4;0,53;0,9;0,12;0,12;0,700;3,000
160L;160L (100x long);0,05;50;0,03;1;0,31;0,8;0,12;0,12;1,000;3,000
160S;160S (100x);0,04;50;0,02;1;0,31;0,9;0,12;0,12;0,700;1,000
160XS;160XS (100xs);0,04;50;0,02;1;0,31;0,95;0,12;0,12;0,700;1,000
