Name;Rauhnormal;Ra Soll;Rz Soll;Rmax Soll;r_Spitze [µm];lambda_c [µm];deltaRa %;Abteilung
1123 D1 µm  (ISO 5436-1) 181 PTB 00;1123 D1 (ISO 5436-1) 181 PTB 00;1,45;7,11;8,52;4;800;13;Applikation
1439 D1 (ISO 5436-1) 009 PTB 06;1439 D1 (ISO 5436-1) 009 PTB 06;1,67;8,19;10,2;5;800;13;Service
5201 D1 (ISO 5436-1) 038 PTB 07;5201 D1 (ISO 5436-1) 038 PTB 07;1,82;7,81;8,89;5;800;13;Fertigung
5449 D1 (ISO 5436-1) 57018 PTB 10;5449 D1 (ISO 5436-1) 57018 PTB 10;0,23;1,5;1,59;5;800;13;Fertigung
6005 D1 (ISO 5436) 57209 PTB 11;6005 D1 (ISO 5436) 57209 PTB 11;1,64;7,92;9,59;2;800;13;Applikation
6044 D1 (ISO 5436-1) 57206 PTB 11;6044 D1 (ISO 5436-1) 57206 PTB 11;0,58;2,76;3,21;2;800;13;Fertigung
6248 D1 (ISO 5436-1) Halle 12;6248 D1 (ISO 5436-1) Halle 12;0,20;1,33;1,46;4;800;13;FuE
6459 D1 (ISO 5436-1) 13TH15 DKD 13;6459 D1 (ISO 5436-1) 13TH15 DKD 13;1,63;7,75;9,47;2;800;13;Service
6512 D1 (ISO 5436-1) 57024 PTB 13;6512 D1 (ISO 5436-1) 57024 PTB 13;1,63;7,72;9,21;2;800;13;Applikation
6640 D1 (ISO 5436-1) 14TH109 DKD 14;6640 D1 (ISO 5436-1) 14TH109 DKD 14;1,68;8,22;9,96;2;800;13;FuE
6679 D1 (ISO 5436-1) 57365PTB18;6679 D1 (ISO 5436-1) 57365PTB18;1,63;7,86;9,65;4;800;13;Service
6702 D2 (ISO 5436-1) 20TH82 DKD 20;6702 D2 (ISO 5436-1) 20TH82 DKD 20;1,65;8,02;10;2;800;13;Applikation
6707 D1 (ISO 5436-1) 57366PTB18;6707 D1 (ISO 5436-1) 57366PTB18;1,65;8,07;10,04;4;800;13;Service
6853 D1 (ISO 5436-1) 57051 PTB 14;6853 D1 (ISO 5436-1) 57051 PTB 14;1,6;7,76;9,64;2;800;13;Service
6854 D1 (ISO 5436-1) 14TH62 DKD 14;6854 D1 (ISO 5436-1) 14TH62 DKD 14;1,61;7,80;9,74;2;800;13;Service (Zimmer)
7385 D2 (ISO 5436-1) 57211 PTB 15;7385 D2 (ISO 5436-1) 57211 PTB 15;0,0826;0,4513;0,5644;2;250;13;Applikation
8745 D2 (ISO 5436-1) 57351 PTB 19;8745 D2 (ISO 5436-1) 57351 PTB 19;0,0829;0,450;0,5657;2;250;13;Fertigung
8787 D1 (ISO 5436-1) 57052 PTB 14;8787 D1 (ISO 5436-1) 57052 PTB 14;1,62;7,75;9,14;2;800;13;Service
8827 D1 (ISO 5436-1) 19TH150 DKD 19;8827 D1 (ISO 5436-1) 19TH150 DKD 19;1,88;7,93;8,55;2;800;13;s
8828 D1 (ISO 5436-1) 19TH151 DKD 19;8828 D1 (ISO 5436-1) 19TH151 DKD 19;1,88;7,91;8,53;2;800;13;s
8829 D1 (ISO 5436-1) 19TH152 DKD 19;8829 D1 (ISO 5436-1) 19TH152 DKD 19;1,89;7,89;8,52;2;800;13;s
