Name;Typ der Achse;Länge [mm];Ebenheit/Flatness  ;Ebenheit/Flatness  >10mm;Ebenheit/Flatness   50mm (Abnahme);Accuracy   
PMT 160-050-DC-R;PMT 160-050-DC-R;50;0,5;0,2;0,5;10
PMT 160-100-DC-R;PMT 160-100-DC-R;100;1;0,4;0,5;10
PMT 160-150-DC-R;PMT 160-150-DC-R;150;1,5;1;1;10
PMT 160-200-DC-R;PMT 160-200-DC-R;200;2;1;1;10
PMT 160-300-DC-R;PMT 160-300-DC-R;300;4;1;1;20
PRO 165LM-800;PRO 165LM-800;800;12;2;2,5;19
ALS 20020;ALS 20020;200;4;1;2;8
LTMS 20 700;LTMS 20 700;700;4;1;1;20
LTMS 20 450;LTMS 20 450;450;4;1;1;20
Planar_DL-300XY;Planar_DL-300XY;300;2;1;1;5
